image_id,relative_path,class_id,label,class_name,species,breed_id,official_split
Abyssinian_10,datasets/oxford_pets/images/Abyssinian_10.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_100,datasets/oxford_pets/images/Abyssinian_100.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_103,datasets/oxford_pets/images/Abyssinian_103.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_104,datasets/oxford_pets/images/Abyssinian_104.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_105,datasets/oxford_pets/images/Abyssinian_105.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_106,datasets/oxford_pets/images/Abyssinian_106.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_107,datasets/oxford_pets/images/Abyssinian_107.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_108,datasets/oxford_pets/images/Abyssinian_108.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_109,datasets/oxford_pets/images/Abyssinian_109.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_110,datasets/oxford_pets/images/Abyssinian_110.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_111,datasets/oxford_pets/images/Abyssinian_111.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_112,datasets/oxford_pets/images/Abyssinian_112.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_114,datasets/oxford_pets/images/Abyssinian_114.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_115,datasets/oxford_pets/images/Abyssinian_115.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_116,datasets/oxford_pets/images/Abyssinian_116.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_117,datasets/oxford_pets/images/Abyssinian_117.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_118,datasets/oxford_pets/images/Abyssinian_118.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_12,datasets/oxford_pets/images/Abyssinian_12.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_120,datasets/oxford_pets/images/Abyssinian_120.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_122,datasets/oxford_pets/images/Abyssinian_122.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_123,datasets/oxford_pets/images/Abyssinian_123.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_124,datasets/oxford_pets/images/Abyssinian_124.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_125,datasets/oxford_pets/images/Abyssinian_125.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_126,datasets/oxford_pets/images/Abyssinian_126.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_128,datasets/oxford_pets/images/Abyssinian_128.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_129,datasets/oxford_pets/images/Abyssinian_129.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_13,datasets/oxford_pets/images/Abyssinian_13.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_130,datasets/oxford_pets/images/Abyssinian_130.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_131,datasets/oxford_pets/images/Abyssinian_131.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_132,datasets/oxford_pets/images/Abyssinian_132.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_133,datasets/oxford_pets/images/Abyssinian_133.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_135,datasets/oxford_pets/images/Abyssinian_135.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_136,datasets/oxford_pets/images/Abyssinian_136.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_137,datasets/oxford_pets/images/Abyssinian_137.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_138,datasets/oxford_pets/images/Abyssinian_138.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_139,datasets/oxford_pets/images/Abyssinian_139.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_14,datasets/oxford_pets/images/Abyssinian_14.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_140,datasets/oxford_pets/images/Abyssinian_140.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_141,datasets/oxford_pets/images/Abyssinian_141.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_142,datasets/oxford_pets/images/Abyssinian_142.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_143,datasets/oxford_pets/images/Abyssinian_143.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_144,datasets/oxford_pets/images/Abyssinian_144.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_145,datasets/oxford_pets/images/Abyssinian_145.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_146,datasets/oxford_pets/images/Abyssinian_146.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_148,datasets/oxford_pets/images/Abyssinian_148.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_15,datasets/oxford_pets/images/Abyssinian_15.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_150,datasets/oxford_pets/images/Abyssinian_150.jpg,1,0,Abyssinian,1,1,trainval
Abyssinian_151,datasets/oxford_pets/images/Abyssinian_151.jpg,1,0,Abyssinian,1,1,trainval
